City,Country,Lat,Lng,Cloudiness,Wind Speed,Humidity,Maximum Temp,Date
Santa Isabel Rio Negro,BR,-0.4139,-65.0192,87,1.48,94,73.71,1619829921
Cabedelo,BR,-6.9811,-34.8339,20,5.75,100,75.2,1619829921
Umluj,SA,25.0213,37.2685,0,9.66,33,85.03,1619829922
Neturhāt,IN,23.4833,84.2667,5,3.91,27,75.47,1619829922
North Bend,US,43.4065,-124.2243,90,8.05,94,59,1619829923
Kayes,ML,14,-11,7,15.1,22,94.48,1619829923
Puerto Suárez,BO,-18.95,-57.8,0,1.54,46,71.78,1619829923
Fenelon Falls,CA,44.5334,-78.7496,100,20.71,87,35.6,1619829924
Acaraú,BR,-2.8856,-40.12,39,7.99,85,77.92,1619829924
Buluang,PH,13.3068,123.3425,10,0.36,60,85.28,1619829924
Itoman,JP,26.1247,127.6694,75,13.8,83,78.01,1619829925
Pisco,PE,-13.7,-76.2167,0,11.5,82,66.2,1619829925
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,90,13.42,100,37.4,1619829837
Bullhead City,US,35.1478,-114.5683,40,5.75,6,102.99,1619829926
Pangnirtung,CA,66.1451,-65.7125,13,8.14,78,31.51,1619829926
Manadhoo,MV,5.7667,73.3833,23,5.28,72,83.23,1619829926
Kununurra,AU,-15.7667,128.7333,0,6.91,35,86,1619829927
Esim,GH,4.8699,-2.2405,100,6.76,79,81.3,1619829928
Tuatapere,NZ,-46.1333,167.6833,96,5.01,74,54,1619829928
Hofn,IS,64.2539,-15.2082,100,11.27,65,35.85,1619829928
Paita,PE,-5.0892,-81.1144,20,12.5,78,70.66,1619829929
Petatlán,MX,17.5167,-101.2667,1,3.89,58,86,1619829929
Saldanha,ZA,-33.0117,17.9442,0,2.3,76,53.6,1619829929
Nicoya,CR,10.1483,-85.452,40,6.91,69,82.4,1619829930
Maceió,BR,-9.6658,-35.7353,40,4.61,78,78.8,1619829930
Dabat,ET,12.9842,37.765,100,6.02,59,58.95,1619829930
Halifax,CA,44.6453,-63.5724,74,16.11,93,46,1619829726
Iqaluit,CA,63.7506,-68.5145,75,10.36,75,35.6,1619829931
Riyadh,SA,24.6877,46.7219,0,4.61,12,86,1619829800
Narsaq,GL,60.9167,-46.05,67,24.16,29,50,1619829926
Adjumani,UG,3.3779,31.7909,100,2.51,95,66.22,1619829674
Kano,NG,12.0001,8.5167,0,5.03,25,78.8,1619829931
Howard Springs,AU,-12.497,131.047,0,12.66,57,82.99,1619829932
Havøysund,NO,70.9963,24.6622,90,14.97,100,26.6,1619829932
São Gabriel da Cachoeira,BR,-0.1303,-67.0892,100,2.3,97,72.54,1619829932
Garoowe,SO,8.4054,48.4845,100,9.84,81,74.28,1619829933
Mopti,ML,14.6667,-4,56,10.36,31,89.6,1619829933
Coquimbo,CL,-29.9533,-71.3436,0,4.52,88,57.2,1619829934
Pathein,MM,16.7833,94.7333,11,3.22,70,83.16,1619829934
Touros,BR,-5.1989,-35.4608,40,3.44,94,75.2,1619829934
Mangan,IN,27.5167,88.5333,91,3.87,52,72.23,1619829935
Krasnyy Oktyabr',RU,56.1167,38.8833,100,10.56,87,47.52,1619829935
Upernavik,GL,72.7868,-56.1549,100,4.92,79,25.07,1619829935
Comodoro Rivadavia,AR,-45.8667,-67.5,0,2.3,59,64.4,1619829901
Japura,ID,-0.3167,102.35,91,2.08,82,76.28,1619829936
Hamilton,US,39.1834,-84.5333,1,11.5,30,57.2,1619829905
Sakaiminato,JP,35.55,133.2333,90,6.91,94,53.6,1619829936
Santa Rosa,PH,14.3122,121.1114,20,5.75,66,87.01,1619829937
Livingston,GB,55.9029,-3.5226,40,2.3,81,41,1619829937
Charters Towers,AU,-20.1,146.2667,19,12.06,56,75.58,1619829926
Abu Dhabi,AE,24.4667,54.3667,0,3.44,69,80.6,1619829882
Yulara,AU,-25.2406,130.9889,100,5.75,28,68,1619829938
Tabas,IR,33.5959,56.9244,98,4.5,41,73.6,1619829938
Talcahuano,CL,-36.7167,-73.1167,90,18.41,94,57.2,1619829938
San Miguelito,PA,9.0333,-79.5,90,6.91,89,78.8,1619829939
Nelson Bay,AU,-32.7167,152.15,1,3.44,78,75,1619829939
Roebourne,AU,-20.7833,117.1333,0,13.91,31,86.32,1619829939
Khovd,MN,48.0056,91.6419,100,9.86,26,62.56,1619829940
Kapoeta,SS,4.7717,33.5903,96,5.46,74,73.4,1619829940
Severo-Kuril'sk,RU,50.6789,156.125,100,22.77,96,35.26,1619829940
Cairns,AU,-16.9167,145.7667,40,12.66,65,82.99,1619829941
Berdavan,AM,41.205,44.9997,20,5.75,77,59,1619829941
Pithora,IN,21.2667,82.5167,66,3.31,32,82.02,1619829941
Monteiro,BR,-7.8894,-37.12,100,6.38,87,67.66,1619829942
Ailigandí,PA,9.2333,-78.0167,100,1.88,81,78.51,1619829942
Linkou,CN,45.3,130.2833,100,8.05,49,54.28,1619829942
Andrelândia,BR,-21.7397,-44.3092,38,4.14,97,53.73,1619829943
Tiruchchendur,IN,8.4833,78.1167,25,3.67,74,83.35,1619829943
Barkhan,PK,29.8977,69.5256,6,5.19,33,74.21,1619829943
Dawlatabad,AF,36.4141,64.9053,100,6.08,57,69.64,1619829944
Gaur,NP,26.7667,85.2667,21,8.16,35,82.72,1619829944
Sobolevo,RU,54.4299,31.8996,100,11.83,82,39.79,1619829944
Sur,OM,22.5667,59.5289,99,8.16,44,83.32,1619829945
Filingué,NE,14.3521,3.3168,0,5.66,16,86.92,1619829945
Tomatlán,MX,19.9333,-105.25,30,6.64,56,79.88,1619829945
Kudahuvadhoo,MV,2.6708,72.8944,88,2.21,71,82.56,1619829946
Manado,ID,1.487,124.8455,20,2.3,70,86,1619829946
San Patricio,US,28.017,-97.5169,90,14.97,88,75.2,1619829946
Porto-Novo,BJ,6.4965,2.6036,20,11.5,79,84.2,1619829947
Vikulovo,RU,56.8167,70.6107,0,15.17,54,37.22,1619829947
Oddur,SO,4.1213,43.8894,96,6.91,81,73.94,1619829947
Santa Marta,CO,11.2408,-74.199,75,11.5,62,86,1619829948
Buala,SB,-8.145,159.5921,100,5.19,70,83.12,1619829948
Vanimo,PG,-2.6741,141.3028,69,0.87,72,84.56,1619829948
Plettenberg Bay,ZA,-34.0527,23.3716,0,3.89,72,55.18,1619829949
Vardø,NO,70.3705,31.1107,99,34.92,89,33.21,1619829949
Zharkent,KZ,44.1628,80,100,23.4,66,62.83,1619829949
Abu Kamal,SY,34.4506,40.9171,0,11.18,32,74.19,1619829950
Whitehorse,CA,60.7161,-135.0538,75,14.97,34,50,1619829950
Anchorage,US,61.2181,-149.9003,1,9.22,31,48.2,1619829799
Torbay,CA,47.6666,-52.7314,90,14.97,100,37,1619829950
Russell,US,32.3502,-85.1999,40,6.91,49,75.2,1619829905
Sept-Îles,CA,50.2001,-66.3821,90,9.22,87,44.01,1619829951
Berbera,SO,10.4396,45.0143,99,3.02,73,83.55,1619829951
Santa Cruz,MA,30.4202,-9.5982,0,11.5,77,59,1619829952
Kismayo,SO,-0.3582,42.5454,10,9.71,80,81,1619829952
Isangel,VU,-19.55,169.2667,75,9.22,70,84.2,1619829952
Playas,EC,-2.6333,-80.3833,100,4.07,86,74.07,1619829953
Kirakira,SB,-10.4544,161.9205,100,5.03,81,81.46,1619829953
Nakhon Thai,TH,17.1006,100.8374,20,1.7,94,77,1619829953
Mathbaria,BD,22.2876,89.9593,0,9.71,70,83.97,1619829954
Jaciara,BR,-15.9653,-54.9683,40,2.8,53,73.36,1619829954
Shenjiamen,CN,29.9576,122.298,100,12.12,80,63.82,1619829954
Raglan,NZ,-37.8,174.8833,11,7,55,66.99,1619829954
Florianópolis,BR,-27.6146,-48.5012,0,3.38,88,70,1619829955
Yumen,CN,40.2833,97.2,100,3.13,8,70.05,1619829955
Loandjili,CG,-4.7561,11.8578,20,2.3,89,78.8,1619829955
Broome,US,42.2506,-75.833,90,21.85,81,39.99,1619829956
Fareydūnshahr,IR,32.941,50.121,5,2.59,47,49.86,1619829956
Ancud,CL,-41.8697,-73.8203,90,13.8,100,55,1619829845
Câmara de Lobos,PT,32.6333,-16.9667,40,11.5,63,62.6,1619829957
Calenzano,IT,43.8559,11.1627,0,1.14,94,59,1619829957
Saint Paul Harbor,US,57.79,-152.4072,1,10.36,66,48.2,1619829957
Kawambwa,ZM,-9.7915,29.0791,97,3.65,96,61.12,1619829958
Tawang Town,IN,27.5833,91.8667,61,1.41,60,51.3,1619829958
Tautira,PF,-17.7333,-149.15,75,11.5,70,84.2,1619829958
Parfen'yevo,RU,58.484,43.4088,100,14.83,91,47.61,1619829959
Maxixe,MZ,-23.8597,35.3472,100,6.67,81,71.51,1619829959
Baiyin,CN,36.5583,104.2081,0,4.47,47,53.6,1619829959
Boquete,PA,8.7833,-82.4333,96,0.94,99,64,1619829667
Xining,CN,36.6167,101.7667,71,2.95,27,55.38,1619829960
Henties Bay,NA,-22.116,14.2845,0,1.01,91,55.99,1619829960
Haskovo,BG,41.9403,25.5694,99,6.91,88,57.2,1619829714
Giohar,SO,2.7809,45.5005,40,4.25,80,77.56,1619829960
Pevek,RU,69.7008,170.3133,100,16.24,81,19.06,1619829961
Kedgwick,CA,47.6446,-67.3434,100,5.17,94,38.12,1619829961
Maurepas,FR,48.7649,1.9292,0,2.3,66,48.2,1619829962
Quatre Cocos,MU,-20.2078,57.7625,75,13.8,78,77,1619829962
Tromsø,NO,69.6496,18.957,75,2.3,86,24.8,1619829962
Lesosibirsk,RU,58.2358,92.4828,7,7.18,84,42.04,1619829963
Jumla,NP,29.2747,82.1838,54,2.01,71,52.34,1619829963
Tessalit,ML,20.1986,1.0114,86,22.59,33,80.71,1619829963
Dunedin,NZ,-45.8742,170.5036,17,8.99,57,57,1619829964
Otane,NZ,-39.8833,176.6333,5,8.99,50,61,1619829964
Narrabri,AU,-30.3167,149.7833,5,10.36,52,73.99,1619829964
Peleduy,RU,59.6289,112.7406,100,2.33,78,37.72,1619829965
Matara,LK,5.9485,80.5353,47,1.52,86,77.76,1619829965
La Macarena,CO,2.1837,-73.7849,96,2.19,97,70.77,1619829965
Torres,BR,-29.3353,-49.7269,5,5.64,84,62.26,1619829966
Ostrovnoy,RU,68.0531,39.5131,100,5.84,81,16.3,1619829966
Clearwater,US,27.9659,-82.8001,40,5.75,83,77,1619829905
Pittsfield,US,42.4501,-73.2454,90,17.27,65,44.6,1619829967
Murgab,TM,37.4966,61.9714,90,6.91,63,66.2,1619829967
Safford,US,32.834,-109.7076,1,11.5,15,84.2,1619829967
Arrondissement de Verdun,FR,49.25,5.3333,100,1.01,75,37.99,1619829968
Buraidah,SA,26.326,43.975,0,4.61,37,71.6,1619829730
Salalah,OM,17.0151,54.0924,40,2.3,78,82.4,1619829968
Yantal',RU,56.8471,105.2542,100,7.61,84,37.15,1619829968
Praia,CV,14.9215,-23.5087,20,13.8,78,71.6,1619829907
Talara,PE,-4.5772,-81.2719,100,11.21,82,70.02,1619829969
Tabou,CI,4.423,-7.3528,100,6.02,77,81.01,1619829969
Half Moon Bay,US,37.4636,-122.4286,90,13.8,87,64,1619829970
Puerto Baquerizo Moreno,EC,-0.9,-89.6,66,9.26,79,75.7,1619829970
Malindi,KE,-3.2175,40.1191,99,10.56,88,78.04,1619829970
Ustikolina,BA,43.5836,18.79,0,2.3,51,62.6,1619829963
Sarangani,PH,5.4033,125.4636,100,16.78,75,83.21,1619829971
Alofi,NU,-19.0595,-169.9187,100,6.91,94,77,1619829971
Nishihara,JP,26.1842,127.7558,75,13.8,83,78.8,1619829971
Agnibilékrou,CI,7.1344,-3.2047,96,3.38,89,75.38,1619829972
Eyemouth,GB,55.8713,-2.0901,14,6.31,77,33.01,1619829972
Najrān,SA,17.4924,44.1277,75,2.3,29,77,1619829972
Guaymas,MX,27.9333,-110.9,20,18.41,32,91.99,1619829973
Meulaboh,ID,4.1363,96.1285,93,3.04,84,78.28,1619829973
Kingori,TZ,-3.2833,36.9833,98,2.93,97,64.65,1619829973
Bakel,SN,14.905,-12.4568,36,13.49,23,91.15,1619829974
Tiznit Province,MA,29.5833,-9.5,69,6.31,74,53.65,1619829963
Brae,GB,60.3964,-1.353,100,6.91,87,35.6,1619829974
Sioux Lookout,CA,50.1001,-91.917,75,8.05,25,51.8,1619829974
Buchanan,LR,5.8808,-10.0467,75,7.2,94,75.2,1619829975
Esmeraldas,BR,-19.7625,-44.3139,0,6.91,68,68,1619829975
Havelock,US,34.8791,-76.9013,66,3,41,73.99,1619829976
Sabanalarga,CO,10.6296,-74.9206,40,6.91,83,80.6,1619829976
Aberfeldy,GB,56.62,-3.8645,100,1.28,91,39,1619829976
Khandyga,RU,62.6667,135.6,100,0.89,96,37.38,1619829977
Kamogawa,JP,35.1,140.1,40,6.91,72,68,1619829977
Mormugao,IN,15.4,73.8,4,4.18,75,80.85,1619829977
Östersund,SE,63.1792,14.6357,90,8.05,93,30.99,1619829978
Mnogovershinnyy,RU,53.9353,139.9242,100,3.38,85,32.38,1619829978
Simpang,ID,-1.2667,104.0833,88,2.57,83,78.87,1619829978
Manokwari,ID,-0.8667,134.0833,100,1.12,71,82.42,1619829979
Vila Franca do Campo,PT,37.7167,-25.4333,20,2.3,71,51.8,1619829979
Comrat,MD,46.3003,28.6572,5,4.52,84,55.69,1619829979
Lakes Entrance,AU,-37.8811,147.981,0,1.16,69,66.99,1619829980
San Cristobal,VE,7.7669,-72.225,75,4.61,100,75.2,1619829980
Āsmār,AF,35.0333,71.3581,47,8.9,52,67.86,1619829980
Kumluca,TR,36.3703,30.2869,31,6.38,40,74.3,1619829981
Navahrudak,BY,53.6,25.8333,100,6.67,87,40.96,1619829981
Khanna,IN,30.7044,76.2231,100,4.99,30,81.72,1619829981
Amnat Charoen,TH,15.9167,104.75,100,4.59,68,81.7,1619829982
Kuching,MY,1.55,110.3333,20,2.3,89,78.8,1619829982
Makat,KZ,47.6469,53.3463,70,10.31,37,52.59,1619829982
Lodja,CD,-3.4833,23.4333,99,1.03,99,69.53,1619829983
Songyang,CN,34.4553,113.0281,0,5.46,40,61.79,1619829983
Mondeville,FR,49.175,-0.3224,6,3.44,93,33.8,1619829983
Irpa Irpa,BO,-17.7167,-66.2667,100,9.22,39,62.6,1619829984
Gijang,KR,35.2442,129.2139,75,6.91,76,55.4,1619829984
Ganzhou,CN,28.8184,115.4327,0,4.5,61,77.94,1619829984
Baykit,RU,61.67,96.37,100,5.19,95,36.37,1619829985
Homer,US,59.6425,-151.5483,75,18.41,36,46.4,1619829985
Srednekolymsk,RU,67.45,153.6833,8,11.97,77,27.28,1619829985
Dingle,PH,10.9995,122.6711,61,7.31,65,86.23,1619829986
Anamalais,IN,10.5833,76.9333,20,2.3,83,78.8,1619829986
Ola,RU,59.5833,151.2833,74,2.57,75,34.59,1619829986
Mount Isa,AU,-20.7333,139.5,0,11.5,47,78.8,1619829786
Puro,PH,12.4841,123.3827,100,6.49,69,83.34,1619829987
Poya,NC,-21.35,165.15,69,6.6,53,79.88,1619829987
Belle Glade,US,26.6845,-80.6676,100,1.99,80,81,1619829987
Puerto Colombia,CO,10.9878,-74.9547,40,6.91,83,80.6,1619829988
Zhigansk,RU,66.7697,123.3711,100,5.99,96,30.24,1619829988
Imeni Poliny Osipenko,RU,52.4201,136.4853,100,9.35,58,40.14,1619829988
Struer Municipality,DK,56.4912,8.5838,89,3.89,89,39.99,1619829989
Jasper,US,37.2001,-94.3502,1,6.91,46,73.4,1619829989
Begunitsy,RU,59.5855,29.3176,0,4.47,80,33.8,1619829989
Bahía Blanca,AR,-38.7196,-62.2724,81,14.18,57,63.28,1619829990
Saint-Louis,SN,16.3333,-15,0,4.61,50,78.8,1619829990
Taltal,CL,-25.4,-70.4833,13,2.66,77,64.22,1619829990
Dukat,RU,62.55,155.55,99,3.06,84,27.97,1619829991
Sal Rei,CV,16.1833,-22.9167,40,11.5,78,69.8,1619829991
Orlik,RU,52.5178,99.825,100,5.46,93,35.67,1619829991
Nísia Floresta,BR,-6.0911,-35.2086,0,8.05,88,77,1619829992
Labuhan,ID,-6.8844,112.2051,69,6.22,80,81.21,1619829992
Caravelas,BR,-17.7125,-39.2481,100,13.87,67,75.87,1619829992
Kupang,ID,-10.1667,123.5833,6,8.52,66,83.26,1619829993
Egvekinot,RU,66.3167,-179.1667,100,2.44,88,20.75,1619829993
Barra do Garças,BR,-15.89,-52.2567,100,2.53,83,71.1,1619829993
Takoradze,GH,4.8845,-1.7554,100,7.16,80,81.41,1619829994
Quimper,FR,48,-4.1,0,5.75,81,41,1619829994
Poum,NC,-20.2333,164.0167,97,8.66,68,76.95,1619829994
Pokhara,NP,28.2333,83.9833,99,1.32,30,77.47,1619829995
Luau,AO,-10.7073,22.2247,100,3.24,96,63.84,1619829995
Tateyama,JP,34.9833,139.8667,20,4.61,72,66.2,1619829995
Sinop Province,TR,41.7711,34.8709,55,6.71,78,55.13,1619829969
Issenye,TZ,-2,34.3333,56,2.89,84,61.38,1619829996
Antofagasta,CL,-23.65,-70.4,40,9.22,82,60.8,1619829996
La Cruz,MX,23.9167,-106.9,0,4,66,79,1619829997
Kieta,PG,-6.2167,155.6333,26,4.68,70,84.67,1619829997
Porto Santo,PT,33.072,-16.3415,20,6.91,72,60.8,1619829997
Fuxin,CN,42.0156,121.6589,100,10.65,22,54.63,1619829998
Kilindoni,TZ,-7.9139,39.6668,90,10.67,83,79.48,1619829998
Kamenka,RU,51.3223,42.7678,100,13.87,84,48.99,1619829998
Kavieng,PG,-2.5744,150.7967,83,4.56,66,84.61,1619829999
Grand Gaube,MU,-20.0064,57.6608,100,5.99,79,77,1619829999
Liberty,US,31.8335,-81.5004,1,6.91,38,80.6,1619829999
Kirundo Province,BI,-2.5833,30.1667,40,2.3,100,64.4,1619830000
Oksbøl,DK,55.6268,8.2876,75,4.61,93,43,1619830000
Poshekhon'ye,RU,58.4993,39.1353,100,9.98,97,39.02,1619830000
Huntsville,US,34.7304,-86.5861,1,6.91,46,73.4,1619829719
Rovira,CO,4.2392,-75.24,100,1.59,95,66.02,1619830001
Santiago del Estero,AR,-27.7951,-64.2615,3,7.61,51,62.74,1619830001
Inta,RU,66.0317,60.1659,70,12.15,63,31.71,1619830002
Qaqortoq,GL,60.7167,-46.0333,23,24.16,29,50,1619830002
Am Timan,TD,11.0297,20.2827,91,3.8,23,91.18,1619830002
Tottori-shi,JP,35.5,134.2333,75,9.22,67,59,1619830003
Rome,US,43.2128,-75.4557,90,20.71,81,39.99,1619830003
Yeppoon,AU,-23.1333,150.7333,40,16.11,57,77,1619830003
Chato,TZ,-2.6378,31.7669,95,4.63,86,65.79,1619830004
Korhogo,CI,9.45,-5.6333,15,4.7,61,79.39,1619829912
Cessnock,AU,-32.8333,151.35,11,4.61,73,72,1619830004
Salinópolis,BR,-0.6136,-47.3561,99,4.72,86,76.57,1619830004
Distrikt Brokopondo,SR,4.75,-55.1667,100,8.66,89,75.56,1619830005
Uíge,AO,-7.6087,15.0613,100,2.64,96,66.79,1619830005
Ranong,TH,9.9658,98.6348,40,2.3,94,77,1619830005
Kavaratti,IN,10.5669,72.642,20,8.43,75,83.88,1619830006
Pjanići,BA,44.9836,15.8228,100,4.09,86,57,1619830006
Jiazi,CN,22.8779,116.067,99,6.71,64,78.06,1619830007
Sirte,LY,31.2089,16.5887,7,16.55,19,84.61,1619830007
